#MeshBlock 0 on rank=0 with cost=1
#  Logical level 3, location = (0 0 0)
-1.25 -3.75
-2.5 -3.75
-2.5 -5


#MeshBlock 17 on rank=0 with cost=1
#  Logical level 4, location = (7 4 0)
-1.25 -5
0 -5
0 -3.75
-1.25 -3.75
-1.25 -5


#MeshBlock 18 on rank=0 with cost=1
#  Logical level 4, location = (6 5 0)
-2.5 -3.75
-1.25 -3.75
-1.25 -2.5
-2.5 -2.5
-2.5 -3.75


#MeshBlock 19 on rank=0 with cost=1
#  Logical level 4, location = (7 5 0)
-1.25 -3.75
0 -3.75
0 -2.5
-1.25 -2.5
-1.25 -3.75


#MeshBlock 20 on rank=0 with cost=1
#  Logical level 4, location = (4 6 0)
-5 -2.5
-3.75 -2.5
-3.75 -1.25
-5 -1.25
-5 -2.5


#MeshBlock 21 on rank=0 with cost=1
#  Logical level 4, location = (5 6 0)
-3.75 -2.5
-2.5 -2.5
-2.5 -1.25
-3.75 -1.25
-3.75 -2.5


#MeshBlock 22 on rank=0 with cost=1
#  Logical level 4, location = (4 7 0)
-5 -1.25
-3.75 -1.25
-3.75 0
-5 0
-5 -1.25


#MeshBlock 23 on rank=0 with cost=1
#  Logical level 4, location = (5 7 0)
-3.75 -1.25
-2.5 -1.25
-2.5 0
-3.75 0
-3.75 -1.25


#MeshBlock 24 on rank=0 with cost=1
#  Logical level 4, location = (6 6 0)
-2.5 -2.5
-1.25 -2.5
-1.25 -1.25
-2.5 -1.25
-2.5 -2.5


#MeshBlock 25 on rank=0 with cost=1
#  Logical level 4, location = (7 6 0)
-1.25 -2.5
0 -2.5
0 -1.25
-1.25 -1.25
-1.25 -2.5


#MeshBlock 26 on rank=0 with cost=1
#  Logical level 4, location = (6 7 0)
-2.5 -1.25
-1.25 -1.25
-1.25 0
-2.5 0
-2.5 -1.25


#MeshBlock 27 on rank=0 with cost=1
#  Logical level 4, location = (7 7 0)
-1.25 -1.25
0 -1.25
0 0
-1.25 0
-1.25 -1.25


#MeshBlock 36 on rank=0 with cost=1
#  Logical level 4, location = (8 4 0)
0 -5
1.25 -5
1.25 -3.75
0 -3.75
0 -5


#MeshBlock 37 on rank=0 with cost=1
#  Logical level 4, location = (9 4 0)
1.25 -5
2.5 -5
2.5 -3.75
1.25 -3.75
1.25 -5


#MeshBlock 38 on rank=0 with cost=1
#  Logical level 4, location = (8 5 0)
0 -3.75
1.25 -3.75
1.25 -2.5
0 -2.5
0 -3.75


#MeshBlock 39 on rank=0 with cost=1
#  Logical level 4, location = (9 5 0)
1.25 -3.75
